Longitude,Latitude,PB_Cetin_Uncorr_Strain,PB_IandY_Uncorr_Strain,PB_Seismic_Slope_Disp_RandS,PB_Seismic_Slope_Disp_BandT
-122.989,42.447,3.91E-03,0,0.5,1.072853806
-122.891,42.447,2.61E-03,0,0.5,0.953230573
-122.794,42.447,1.08E-03,0,0.5,0.8972752
-122.697,42.447,1.28E-03,0,0.5,0.887818088
-122.599,42.446,1.31E-03,0,0.5,0.922800435
-122.502,42.446,1.18E-03,0,0.5,0.999886229
-122.405,42.446,2.76E-03,0,0.5,1.154252547
-122.308,42.445,3.95E-03,0,0.5,1.392925039
-121.724,42.44,1.24E-03,0,0.5,1.228110492
-121.627,42.439,0,0,0.5,0.916245865
-121.53,42.438,0,0,0.5,0.716322114
-121.432,42.436,0,0,0.5,0.573483131
-121.335,42.435,0,0,0.5,0.5
-121.238,42.434,0,0,0.5,0.5
-121.141,42.432,0,0,0.5,0.5
-121.044,42.43,0,0,0.5,0.5
-120.946,42.429,0,0,0.5,0.5
-120.849,42.427,0,0,0.5,0.5
-120.752,42.425,0,0,0.5,0.5
-120.655,42.423,0,0,0.5,0.5
-120.558,42.421,0,0,0.5,0.5
-120.46,42.419,0,0,0.5,0.516254453
-120.363,42.417,0,0,0.5,0.57785542
-120.169,42.412,0,0,0.5,0.533826158
-120.072,42.41,0,0,0.5,0.5
-119.975,42.407,0,0,0.5,0.5
-119.878,42.405,0,0,0.5,0.5
-119.781,42.402,0,0,0.5,0.5
-119.684,42.399,0,0,0.5,0.5
-119.587,42.396,0,0,0.5,0.5
-118.908,42.374,0,0,0.5,0.5
-118.811,42.37,0,0,0.5,0.5
-118.714,42.367,0,0,0.5,0.5
-118.617,42.363,0,0,0.5,0.5
-118.52,42.359,0,0,0.5,0.5
